2017-03-10,18:30,28.4,56.6,0,0.9,N
2017-03-11,9:30,28.8,63.5,0,4.1,S
2017-03-11,12:30,28.3,50.6,-0.0,6.3,SW
2017-03-11,18:30,27.7,58.0,0,1.3,NW
2017-03-12,9:30,28.2,62.9,0.9,2.8,SW
2017-03-12,12:30,26.6,59.3,0,3.5,SW
2017-03-12,18:30,26.4,60.7,0,1.1,NW
2017-03-13,9:30,26.1,70.2,0,1.8,W
2017-03-13,12:30,26.6,57.8,0,2.9,W
2017-03-13,18:30,26.9,60.7,0,0.9,N
2017-03-14,9:30,26.9,62.6,0,2.5,W
2017-03-14,12:30,26.5,53.3,0,3.8,W
2017-03-14,18:30,25.7,63.9,0.1,0.1,Calm
2017-03-15,9:30,26.8,61.9,0,2.5,SW
2017-03-15,12:30,27.8,46.5,0,4.0,SW
2017-03-15,18:30,27.4,59.2,0,0.4,Calm
2017-03-16,9:30,27.6,59.1,0,2.4,SW
2017-03-16,12:30,28.3,50.8,0,2.9,W
2017-03-16,18:30,27.9,61.2,0.3,0.6,N
2017-03-17,9:30,28.5,60.6,0,2.8,SW
2017-03-17,12:30,25.4,58.9,0,3.8,SW
2017-03-17,18:30,24.7,67.6,0,0.1,Calm
2017-03-18,9:30,26.0,68.3,0,1.8,SW
2017-03-18,12:30,27.0,52.9,0,4.1,W
2017-03-18,18:30,27.1,64.3,0,0.5,Calm
2017-03-19,9:30,27.7,63.1,0,2.5,SW
2017-03-19,12:30,27.5,49.7,0,4.2,NW
2017-03-19,18:30,27.3,56.0,0,0.6,N
2017-03-20,9:30,28.3,53.4,0,3.8,SW
2017-03-20,12:30,29.6,45.5,0,3.2,W
2017-03-20,18:30,29.8,54.6,0,1.0,N
2017-03-21,9:30,30.0,51.7,0,1.8,W
2017-03-21,12:30,30.0,45.1,0,3.6,W
2017-03-21,18:30,29.6,51.8,1.0,1.0,N
2017-03-22,9:30,29.4,59.3,0,2.6,SW
2017-03-22,12:30,30.0,45.7,0,4.6,W
2017-03-22,18:30,29.7,59.4,0,0.5,N
2017-03-23,9:30,30.0,57.2,0.6,3.3,SW
2017-03-23,12:30,30.3,52.3,-0.0,6.2,S
2017-03-23,18:30,30.0,62.1,0,0.1,Calm
2017-03-24,9:30,29.9,59.8,1.8,3.3,SW
2017-03-24,12:30,29.7,53.7,0,5.7,W
2017-03-24,18:30,30.0,63.6,0,0,Calm
2017-03-25,9:30,29.4,64.3,1.8,2.6,SW
2017-03-25,12:30,29.6,50.1,0,4.0,W
2017-03-25,18:30,29.6,62.1,0.0,0.1,Calm
2017-03-26,9:30,29.6,64.1,0,2.3,SW
2017-03-26,12:30,30.4,50.7,0,5.3,SW
2017-03-26,18:30,30.0,65.7,0,0.2,N
2017-03-27,9:30,29.2,62.8,0.3,2.9,SW
2017-03-27,12:30,28.4,56.0,0,5.4,W
2017-03-27,18:30,28.1,71.8,0,0.0,N
2017-03-28,9:30,28.2,69.3,3.8,2.9,SW
2017-03-28,12:30,27.3,53.8,0,4.6,SW
2017-03-28,18:30,27.4,68.4,0,-0.0,Calm
2017-03-29,9:30,28.3,59.8,0,2.7,SW
2017-03-29,12:30,28.7,49.6,0,3.6,SW
2017-03-29,18:30,28.2,65.4,0,0.5,N
2017-03-30,9:30,28.4,60.6,0.3,1.9,SW
2017-03-30,12:30,29.3,51.5,0.7,3.2,W
2017-03-30,18:30,29.1,64.7,-0.0,0.5,N
2017-03-31,9:30,29.7,66.8,0,2.8,SW
2017-03-31,12:30,30.0,55.3,0,3.6,SW
2017-03-31,18:30,30.1,62.7,0,1.1,N
2017-04-01,9:30,29.7,67.0,0,1.9,W
2017-04-01,12:30,29.9,56.2,0,3.2,W
2017-04-01,18:30,30.3,56.5,0.1,1.9,NW
2017-04-02,9:30,30.1,65.3,0,1.7,W
2017-04-02,12:30,29.5,54.8,0,3.8,W
2017-04-02,18:30,29.0,61.6,0,1.0,N
2017-04-03,9:30,28.4,66.1,0.4,2.0,SW
2017-04-03,12:30,29.3,53.9,0,4.3,W
2017-04-03,18:30,29.3,66.4,0,0.2,Calm
2017-04-04,9:30,29.2,66.7,0.0,2.3,SW
2017-04-04,12:30,28.9,58.5,0,3.2,SW
2017-04-04,18:30,28.8,69.9,0,0.2,Calm
2017-04-05,9:30,29.0,67.6,0,2.5,SW
2017-04-05,12:30,30.1,56.1,0,4.8,SW
2017-04-05,18:30,29.8,67.0,0,0.5,N
2017-04-06,9:30,29.6,64.1,0.8,3.1,SW
2017-04-06,12:30,29.2,57.4,0,4.5,W
2017-04-06,18:30,29.5,66.5,0,0.1,Calm
2017-04-07,9:30,28.9,67.1,2.3,2.5,SW
2017-04-07,12:30,29.0,54.1,0,4.6,SW
2017-04-07,18:30,28.8,67.4,0,0.3,N
2017-04-08,9:30,26.9,73.4,3.3,1.9,SW
2017-04-08,12:30,22.6,73.9,0,3.1,SW
2017-04-08,18:30,21.9,81.6,0,0.5,N
2017-04-09,9:30,22.7,87.2,3.1,1.5,W
2017-04-09,12:30,25.6,63.2,0,3.9,W
2017-04-09,18:30,25.7,82.2,0,0.4,N
2017-04-10,9:30,26.2,72.3,0,2.6,S
2017-04-10,12:30,29.6,54.1,0,3.7,W
2017-04-10,18:30,29.1,74.7,0,0.5,N
2017-04-11,9:30,29.5,65.2,0,3.1,SW
2017-04-11,12:30,29.8,60.5,0,4.7,SW
2017-04-11,18:30,29.7,65.3,0.7,0.5,N
2017-04-12,9:30,30.3,63.4,0,3.1,SW
2017-04-12,12:30,30.7,56.5,0,4.1,W
2017-04-12,18:30,31.4,63.7,0,1.1,N
2017-04-13,9:30,30.4,64.3,0,2.8,SW
2017-04-13,12:30,31.1,56.2,0,3.3,W
2017-04-13,18:30,31.1,68.8,0,0.3,N
2017-04-14,9:30,30.5,64.3,0.7,2.6,SW
2017-04-14,12:30,31.6,52.9,0,5.4,SW
2017-04-14,18:30,31.1,68.6,0,0.4,Calm
2017-04-15,9:30,29.9,66.8,1.8,2.7,SW
2017-04-15,12:30,31.3,56.3,0,4.6,W
2017-04-15,18:30,30.9,67.3,0,0.4,N
2017-04-16,9:30,30.7,61.2,2.7,3.6,SW
2017-04-16,12:30,30.6,56.6,0,4.2,W
2017-04-16,18:30,31.2,71.8,0,0,Calm
2017-04-17,9:30,30.6,66.1,0.8,2.5,SW
2017-04-17,12:30,28.5,62.4,0.8,3.0,SW
2017-04-17,18:30,29.0,75.0,0,0.0,Calm
2017-04-18,9:30,28.9,78.7,0.9,1.4,W
2017-04-18,12:30,28.5,64.6,1.3,3.0,SW
2017-04-18,18:30,28.6,73.1,0.1,0.7,N
2017-04-19,9:30,27.8,79.6,1.6,1.5,W
2017-04-19,12:30,25.7,75.3,1.8,7.2,SW
2017-04-19,18:30,26.1,75.0,3.9,1.9,W
2017-04-20,9:30,27.5,75.5,4.4,3.8,SW
2017-04-20,12:30,28.6,60.9,0,4.6,SW
2017-04-20,18:30,29.2,72.5,0,0.4,N
2017-04-21,9:30,29.3,65.8,0.6,2.7,W
2017-04-21,12:30,31.3,59.0,0,5.1,SW
2017-04-21,18:30,31.5,68.3,0.5,0.3,Calm
2017-04-22,9:30,30.7,64.7,1.7,3.1,SW
2017-04-22,12:30,30.9,56.9,0,5.2,SW
2017-04-22,18:30,30.8,73.5,0,0,Calm
2017-04-23,9:30,30.6,68.7,1.5,3.1,SW
2017-04-23,12:30,31.2,57.3,-0.0,5.1,S
2017-04-23,18:30,30.9,66.8,0,1.2,N
2017-04-24,9:30,30.5,68.5,1.1,2.5,SW
2017-04-24,12:30,29.9,64.2,1.1,3.8,SW
2017-04-24,18:30,30.7,63.7,0.0,1.1,N
2017-04-25,9:30,30.1,71.9,1.5,2.9,SW
2017-04-25,12:30,29.9,65.8,0,5.6,SW
2017-04-25,18:30,29.9,69.9,0,0.6,N
2017-04-26,9:30,30.0,70.8,0,3.5,SW
2017-04-26,12:30,30.5,61.4,0,5.6,SW
2017-04-26,18:30,30.7,74.4,0,-0.0,Calm
2017-04-27,9:30,27.4,79.1,9.7,2.2,SW
2017-04-27,12:30,27.2,66.4,26.6,3.3,SW
2017-04-27,18:30,28.2,76.9,27.1,0,Calm
2017-04-28,9:30,28.3,73.9,0.8,3.1,S
2017-04-28,12:30,27.0,68.2,5.4,3.5,SW
2017-04-28,18:30,27.9,86.2,7.0,0,Calm
2017-04-29,9:30,27.4,83.6,10.4,1.1,NW
2017-04-29,12:30,26.8,73.7,15.8,2.1,NW
2017-04-29,18:30,27.1,79.3,15.7,0,Calm
2017-04-30,9:30,27.6,78.4,4.0,2.4,W
2017-04-30,12:30,26.7,71.7,9.0,3.8,W
2017-04-30,18:30,27.4,77.2,10.3,0.1,Calm
2017-05-01,9:30,27.4,84.1,7.3,1.8,W
2017-05-01,12:30,28.6,64.4,0,4.1,W
2017-05-01,18:30,28.2,80.7,0,0.0,N
2017-05-02,9:30,27.5,80.8,3.4,2.0,SW
2017-05-02,12:30,28.0,71.3,0,3.2,SW
2017-05-02,18:30,28.1,82.5,0,0.2,N
2017-05-03,9:30,27.4,76.6,2.8,2.2,SW
2017-05-03,12:30,24.8,77.1,1.1,3.0,SW
2017-05-03,18:30,24.9,87.5,4.8,0.4,N
2017-05-04,9:30,25.3,82.8,2.2,1.8,S
2017-05-04,12:30,26.3,69.8,0,2.6,W
2017-05-04,18:30,26.4,83.1,0,0.2,N
2017-05-05,9:30,26.2,82.4,1.6,1.7,SW
2017-05-05,12:30,27.6,68.9,9.2,4.9,S
2017-05-05,18:30,28.0,77.9,12.0,0.5,Calm
2017-05-06,9:30,27.7,77.7,1.2,2.9,SW
2017-05-06,12:30,27.0,68.2,0,3.1,NW
2017-05-06,18:30,27.3,81.2,0,0.2,Calm
2017-05-07,9:30,25.7,86.3,4.0,1.9,W
2017-05-07,12:30,26.7,69.0,-0.0,3.1,W
2017-05-07,18:30,26.9,85.9,0,0,Calm
2017-05-08,9:30,26.3,77.0,1.4,2.1,SW
2017-05-08,12:30,29.4,56.3,0,5.0,SW
2017-05-08,18:30,28.8,85.3,0,0.2,N
2017-05-09,9:30,28.1,68.2,4.4,2.9,SW
2017-05-09,12:30,29.2,62.7,0,5.3,SW
2017-05-09,18:30,28.9,82.6,0,0.1,N
2017-05-10,9:30,28.3,71.2,6.0,2.7,SW
2017-05-10,12:30,28.9,66.0,17.4,2.5,W
2017-05-10,18:30,28.7,86.9,22.0,0.1,Calm
2017-05-11,9:30,28.5,73.5,4.4,2.6,SW
2017-05-11,12:30,29.5,65.0,0.4,2.8,W
2017-05-11,18:30,28.7,89.3,0,0,Calm
2017-05-12,9:30,27.3,80.9,5.9,0.9,W
2017-05-12,12:30,25.8,78.6,3.3,1.5,W
2017-05-12,18:30,25.4,93.8,4.1,0,Calm
2017-05-13,9:30,25.5,81.0,3.3,1.5,SW
2017-05-13,12:30,26.5,65.9,0.4,2.1,W
2017-05-13,18:30,26.6,92.5,0,0,Calm
2017-05-14,9:30,25.3,80.5,1.3,1.3,SW
2017-05-14,12:30,27.0,59.0,0,3.4,SW
2017-05-14,18:30,26.2,91.6,0,0,Calm
2017-05-15,9:30,26.4,75.4,2.0,1.8,S
2017-05-15,12:30,28.4,56.8,0,3.4,W
2017-05-15,18:30,27.7,85.3,0,-0.0,N
2017-05-16,9:30,28.1,69.8,1.2,2.9,SW
2017-05-16,12:30,28.1,62.5,0,3.6,SW
2017-05-16,18:30,28.0,80.1,0,0.7,NW
2017-05-17,9:30,28.1,66.3,2.6,2.2,S
2017-05-17,12:30,28.6,60.9,0,4.1,SW
2017-05-17,18:30,27.9,81.8,0,0.5,N
2017-05-18,9:30,27.5,73.4,3.5,2.8,SW
2017-05-18,12:30,27.7,64.0,0,5.1,S
2017-05-18,18:30,27.4,79.4,0,1.0,N
2017-05-19,9:30,27.7,71.6,2.7,2.7,SW
2017-05-19,12:30,27.3,70.1,3.8,4.2,SW
2017-05-19,18:30,28.1,81.0,6.3,0.4,N
2017-05-20,9:30,27.9,77.5,4.5,2.6,SW
2017-05-20,12:30,28.4,62.2,0,5.0,SW
2017-05-20,18:30,27.9,82.0,0,0.1,N
2017-05-21,9:30,27.8,78.2,4.0,3.4,SW
2017-05-21,12:30,28.5,68.9,0,4.1,S
2017-05-21,18:30,28.1,83.7,0.8,1.0,NW
2017-05-22,9:30,28.1,74.4,2.0,2.8,SW
2017-05-22,12:30,27.4,74.3,1.7,2.0,W
2017-05-22,18:30,27.7,80.5,3.3,1.4,NW
2017-05-23,9:30,27.0,81.7,2.7,1.7,W
2017-05-23,12:30,28.3,75.0,7.4,2.2,W
2017-05-23,18:30,28.8,83.1,9.8,1.1,NW
2017-05-24,9:30,27.9,77.8,3.9,2.5,SW
2017-05-24,12:30,28.0,68.1,0,4.8,SW
2017-05-24,18:30,27.9,90.8,0,0.4,N
2017-05-25,9:30,27.1,80.6,8.1,2.6,S
2017-05-25,12:30,27.1,70.9,47.5,5.8,S
2017-05-25,18:30,27.1,81.4,46.9,0.9,W
2017-05-26,9:30,27.1,84.5,7.2,3.3,S
2017-05-26,12:30,27.8,71.4,13.5,2.7,S
2017-05-26,18:30,28.8,89.5,12.2,0,Calm
2017-05-27,9:30,27.6,82.7,4.2,2.0,SW
2017-05-27,12:30,27.9,72.5,0,2.4,W
2017-05-27,18:30,27.8,87.6,0,0.0,NW
2017-05-28,9:30,28.1,79.8,5.9,2.4,SW
2017-05-28,12:30,27.8,74.4,0,2.3,S
2017-05-28,18:30,27.0,87.5,0,0,N
2017-05-29,9:30,26.5,80.2,3.3,2.2,SW
2017-05-29,12:30,22.1,100.0,47.1,1.9,SE
2017-05-29,18:30,22.1,85.8,47.7,0,Calm
2017-05-30,9:30,21.3,97.8,20.1,1.5,S
2017-05-30,12:30,20.5,95.7,28.6,4.6,SE
2017-05-30,18:30,20.8,87.3,34.8,3.0,S
2017-05-31,9:30,24.1,82.2,32.9,1.7,SW
2017-05-31,12:30,27.3,77.4,40.2,2.0,W
2017-05-31,18:30,27.0,81.0,14.0,1.9,SW
2017-06-01,9:30,26.7,76.7,0,2.7,SW
2017-06-01,12:30,25.9,79.0,0,0.3,Calm
2017-06-01,18:30,25.6,85.1,17.9,0,Calm
2017-06-02,9:30,24.8,90.4,45.1,1.2,S
2017-06-02,12:30,25.0,81.1,39.4,0,Calm
2017-06-02,18:30,24.6,93.5,11.3,2.3,S
2017-06-03,9:30,24.3,82.3,8.3,2.6,E
2017-06-03,12:30,25.1,82.0,8.5,1.4,SW
2017-06-03,18:30,25.4,88.7,9.2,-0.0,NW
2017-06-04,9:30,26.3,79.8,0,2.3,S
2017-06-04,12:30,27.0,83.4,0,0,Calm
2017-06-04,18:30,26.3,85.1,2.6,1.2,NW
2017-06-05,9:30,26.8,76.7,2.4,2.3,SW
2017-06-05,12:30,27.0,81.2,0.9,1.1,NW
2017-06-05,18:30,26.8,84.2,1.9,1.5,SW
2017-06-06,9:30,25.4,83.9,35.6,2.9,SW
2017-06-06,12:30,25.4,82.9,44.6,0,Calm
2017-06-06,18:30,25.1,91.5,13.9,1.8,W
2017-06-07,9:30,24.9,80.7,11.2,3.6,SW
2017-06-07,12:30,25.7,87.7,7.9,1.1,W
2017-06-07,18:30,25.4,91.2,9.8,1.0,W
2017-06-08,9:30,26.0,80.0,22.8,2.9,SW
2017-06-08,12:30,26.4,85.8,21.8,0.6,NW
2017-06-08,18:30,26.5,89.9,8.3,2.1,W
2017-06-09,9:30,27.1,75.0,0.3,2.6,SW
2017-06-09,12:30,27.4,83.1,0.4,0.4,W
2017-06-09,18:30,25.7,92.8,6.3,0,N
2017-06-10,9:30,22.7,93.5,16.6,1.4,SW
2017-06-10,12:30,22.0,93.4,13.9,1.4,N
2017-06-10,18:30,21.8,92.3,15.7,1.7,W
2017-06-11,9:30,22.6,89.4,18.7,3.6,SW
2017-06-11,12:30,21.5,83.8,25.2,4.8,SW
2017-06-11,18:30,22.3,91.7,16.9,2.4,W
2017-06-12,9:30,23.0,89.7,13.6,4.6,SW
2017-06-12,12:30,23.0,85.6,12.7,4.5,S
2017-06-12,18:30,23.5,92.0,13.1,4.1,SW
2017-06-13,9:30,22.6,83.8,18.2,6.4,SE
2017-06-13,12:30,23.1,91.0,17.6,3.5,SE
